company_name,website,headquarters_city,headquarters_state,headquarters_country,phone_number,founded_year,ceo_or_founder,annual_revenue,industry_segment,enrichment_status
Patagonia,https://www.patagonia.com,Ventura,California,United States,+1 800-638-6464,1973,Ryan Gellert (CEO),$1.5B (2025 est.),"Patagonia designs and sells outdoor clothing, gear, and equipment focused on environmental sustainability.",verified
The North Face,https://www.thenorthface.com,Denver,Colorado,United States,+1 888-863-1968,1966,Nicole Otto (Brand President),$3.0B (2024 est.),"The North Face designs and sells outdoor apparel, footwear, and equipment for activities such as hiking, climbing, skiing, and snowboarding.",verified
REI Co-op,https://www.rei.com,Issaquah,Washington,United States,+1 800-426-4840,1938,Mary Beth Laughton (CEO),$3.53B (2024),"REI Co-op is a consumer cooperative that sells outdoor recreation gear, apparel, and footwear for activities such as camping, hiking, cycling, and climbing.",verified
Columbia Sportswear,https://www.columbia.com,Portland,Oregon,United States,+1 800-622-6953,1938,Tim Boyle (CEO),$3.4B (2024),"Columbia Sportswear designs and sells outdoor apparel, footwear, accessories, and equipment for active outdoor enthusiasts worldwide.",verified
Arc'teryx,https://www.arcteryx.com,North Vancouver,British Columbia,Canada,+1 866-458-2473,1989,Stuart Haselden (CEO),$2.86B (FY2025 est.),"Arc'teryx designs and manufactures premium technical outdoor apparel, equipment, and gear for climbing, skiing, and mountain sports.",verified
Cotopaxi,https://www.cotopaxi.com,Salt Lake City,Utah,United States,+1 844-268-6729,2014,Lindsay Shumlas (CEO),$150M (2024 est.),"Cotopaxi designs and sells colorful, sustainably made outdoor gear including backpacks, jackets, and apparel.",verified
Black Diamond Equipment,https://www.blackdiamondequipment.com,Holladay,Utah,United States,+1 800-775-5552,1989,Neil Fiske (CEO),$180M (2024 est.),"Black Diamond Equipment designs and manufactures climbing hardware, ski equipment, trekking poles, headlamps, and technical apparel for mountain and outdoor sports.",verified
Marmot,https://www.marmot.com,Rohnert Park,California,United States,+1 888-357-3262,1974,Eric Reynolds (founder),N/A,"Marmot designs and sells outdoor apparel, equipment, and gear including jackets, sleeping bags, tents, and backpacks for activities such as hiking, climbing, and skiing.",verified
Mountain Hardwear,https://www.mountainhardwear.com,Richmond,California,United States,+1 877-927-5649,1993,Troy Sicotte (President),N/A,"Mountain Hardwear designs and sells technical outdoor apparel, equipment, and gear for climbers, mountaineers, and outdoor enthusiasts.",verified
Outdoor Research,https://www.outdoorresearch.com,Seattle,Washington,United States,+1 855-967-8197,1981,Dan Nordstrom (CEO),$50-100M (est.),"Designs and sells technical outdoor apparel, gear, and accessories for activities including alpinism, climbing, hiking, trail running, and backcountry skiing.",verified
prAna,https://www.prana.com,Carlsbad,California,United States,+1 866-915-6457,1992,Beaver Theodosakis (founder),N/A,"prAna designs and sells sustainable activewear and outdoor apparel for yoga, climbing, hiking, and travel.",verified
Kuhl,https://www.kuhl.com,Salt Lake City,Utah,United States,+1 888-218-3181,1983,Kevin Boyle (CEO),N/A,"KÜHL designs and sells premium outdoor and mountain apparel, including pants, shirts, outerwear, and accessories built for active and adventure lifestyles.",verified
Fjallraven,https://www.fjallraven.com,Solna,N/A,Sweden,+1 855-996-3746,1960,Martin Axelhed (CEO),N/A,"Fjällräven designs and sells outdoor apparel, gear, and accessories, including their iconic Kånken backpacks.",verified
Osprey Packs,https://www.osprey.com,Cortez,Colorado,United States,+1 866-284-7830,1974,Mike Pfotenhauer (founder),$155M (2021 est.),"Osprey Packs designs and manufactures outdoor backpacks and travel gear for hiking, backpacking, and adventure travel.",verified
Deuter,https://www.deuter.com,Gersthofen,Bavaria,Germany,+49 821-4987-0,1898,Robert Schieferle (CEO),N/A,"Deuter designs and sells outdoor gear including backpacks, sleeping bags, and travel bags for hiking, climbing, and other outdoor activities.",verified
Gregory Mountain Products,https://www.gregory.com,Salt Lake City,Utah,United States,+1 877-477-4292,1977,Wayne Gregory (founder),$85.5M (FY2025),"Gregory Mountain Products designs and sells high-performance backpacks and outdoor gear for hiking, trekking, and mountain activities.",verified
Big Agnes,https://www.bigagnes.com,Steamboat Springs,Colorado,United States,+1 877-554-8975,2001,Bill Gamber (founder),N/A,"Big Agnes designs and sells outdoor gear including sleeping bags, sleeping pads, tents, backpacks, and insulated apparel for camping and backpacking.",verified
NEMO Equipment,https://www.nemoequipment.com,Dover,New Hampshire,United States,+1 800-997-9301,2002,Cam Brensinger (founder/CEO),N/A,"NEMO Equipment designs and sells innovative outdoor camping gear, including tents, sleeping bags, sleeping pads, and camp furniture.",verified
Therm-a-Rest,https://www.thermarest.com,Seattle,Washington,United States,+1 800-531-9531,1972,Kent Helgeson (Cascade Designs CEO),$55.3M (2024 est.),"Therm-a-Rest designs and manufactures self-inflating sleeping pads, camp mattresses, sleeping bags, pillows, and other outdoor sleep and comfort gear for camping and backpacking.",verified
MSR,https://www.msrgear.com,Seattle,Washington,United States,+1 800-531-9531,1969,Kent Helgeson (Cascade Designs CEO),$55.3M (2024 est.),"MSR (Mountain Safety Research) designs and manufactures camping, hiking, and mountaineering equipment including tents, portable stoves, water filters, and snowshoes.",verified
Salomon,https://www.salomon.com,Annecy,Haute-Savoie,France,+1 833-230-0292,1947,Guillaume Meyzenq (CEO),N/A,"Salomon designs and sells high-performance outdoor sports equipment and apparel, including ski boots and bindings, trail running shoes, hiking footwear, and snowboarding gear.",verified
Merrell,https://www.merrell.com,Rockford,Michigan,United States,+1 800-288-3124,1981,Janice Tennant (Brand President),$598.4M (2024),"Merrell designs and sells outdoor and casual footwear, apparel, and gear focused on hiking, trail running, and active lifestyles.",verified
Keen,https://www.keenfootwear.com,Portland,Oregon,United States,+1 866-676-5336,2003,Kirk Richardson (CEO),N/A,"KEEN designs and sells outdoor footwear and accessories, best known for its hybrid sandals and waterproof boots.",verified
Vasque,https://vasqueboots.com,Red Wing,Minnesota,United States,+1 800-224-4453,1964,Bruce Halverson (Red Wing CEO),N/A,"Vasque designs and sells premium outdoor footwear including hiking boots, backpacking boots, and trail running shoes (brand discontinued by Red Wing in Oct 2024).",verified
La Sportiva,https://www.lasportiva.com,Ziano di Fiemme,Trentino,Italy,+1 800-442-7541,1928,Lorenzo Delladio (CEO),€175.8M (2024),"La Sportiva designs and manufactures technical footwear, apparel, and gear for mountain sports including rock climbing, hiking, trail running, and skiing.",verified
Scarpa,https://www.scarpa.com,Asolo,Veneto,Italy,+39 0423-5284,1938,Parisotto family (owners; CEO in transition),€169M (2022 est.),"SCARPA designs and manufactures performance footwear for mountain sports, including rock climbing, mountaineering, skiing, hiking, and trail running.",verified
Hoka,https://www.hoka.com,Goleta,California,United States,+1 866-491-3125,2009,Robin Green (Brand President),$2.23B (FY2025),"Hoka designs and sells high-performance running shoes and athletic footwear known for their maximalist cushioning and lightweight construction.",verified
Danner,https://www.danner.com,Portland,Oregon,United States,+1 877-432-6637,1932,Charles Danner (founder),N/A,"Danner designs and sells premium leather boots for hiking, work, military, and law enforcement, crafted in their Portland, Oregon factory.",verified
Oboz Footwear,https://www.obozfootwear.com,Bozeman,Montana,United States,+1 406-522-0319,2007,John Connelly (founder),$45M (FY2025 est.),"Oboz Footwear designs and sells outdoor hiking and trail footwear for men and women.",verified
Smartwool,https://www.smartwool.com,Denver,Colorado,United States,+1 888-879-9665,1994,Mark Satkiewicz (Brand President),N/A,"Smartwool designs and sells merino wool-based performance socks, apparel, and outdoor gear for active and everyday use.",verified
Darn Tough,https://darntough.com,Northfield,Vermont,United States,+1 877-327-6883,2004,Ric Cabot (CEO),$84M (est.),"Makes and sells premium merino wool socks with an unconditional lifetime guarantee, designed for outdoor, athletic, and everyday use.",verified
Icebreaker,https://www.icebreaker.com,Auckland,N/A,New Zealand,+1 888-530-0075,1995,Jeremy Moon (founder),N/A,"Icebreaker designs and sells merino wool outdoor performance apparel, including base layers, mid layers, outerwear, socks, and accessories made from natural fibers.",verified
Rab,https://rab.equipment,Somercotes,Derbyshire,United Kingdom,+1 844-324-7763,1981,Matt Gowar (CEO),$185M (2023 est.),"Rab designs and manufactures high-performance outdoor clothing and equipment, specializing in down and synthetic insulation, sleeping bags, and technical apparel for climbing and mountaineering.",verified
Mountain Equipment,https://www.mountain-equipment.com,Hyde,Cheshire,United Kingdom,+44 161-366-9732,1961,Pete Hutchinson (founder),N/A,"Mountain Equipment designs and manufactures technical outdoor apparel, sleeping bags, and equipment for mountaineering, climbing, and polar expeditions.",verified
Helly Hansen,https://www.hellyhansen.com,Oslo,N/A,Norway,+1 866-435-5902,1877,Paul Stoneham (CEO),$680M (2025 est.),"Helly Hansen designs and sells outdoor apparel, workwear, and protective gear engineered for harsh weather conditions, marine use, skiing, and professional outdoor activities.",verified
Salewa,https://www.salewa.com,Bolzano,South Tyrol,Italy,+39 0471-242900,1935,Christoph Engl (Oberalp Group CEO),N/A,"Salewa designs and sells technical mountain sports gear including clothing, footwear, and equipment for climbing, hiking, and mountaineering.",verified
Mammut,https://www.mammut.com,Seon,Aargau,Switzerland,+41 62-769-8181,1862,Heiko Schaefer (CEO),CHF 400M (2024 est.),"Mammut designs and sells clothing and equipment for alpine sports including climbing, snow sports, trail running, and trekking.",verified
Ortovox,https://www.ortovox.com,Taufkirchen,Bavaria,Germany,+49 89-66674-0,1980,Stefan Kohlbauer (CEO),N/A,"Ortovox designs and sells mountain sports apparel, backpacks, and avalanche safety equipment including transceivers.",verified
Klean Kanteen,https://www.kleankanteen.com,Chico,California,United States,+1 800-767-3173,2004,Gordon Smith (CEO),N/A,"Klean Kanteen designs and sells stainless steel water bottles, insulated tumblers, food canisters, and other reusable drinkware and food storage products.",verified
Hydro Flask,https://www.hydroflask.com,Bend,Oregon,United States,+1 888-584-9376,2009,Travis Rosbach & Cindy Weber-Rosbach (founders),N/A,"Hydro Flask designs and sells insulated stainless steel water bottles, tumblers, and outdoor drinkware and food containers.",verified
Nalgene,https://nalgene.com,Rochester,New York,United States,+1 844-625-4363,1949,Emanuel Goldberg (founder),N/A,"Nalgene makes and sells durable, reusable water bottles and outdoor accessories for hikers, athletes, travelers, and everyday users.",verified
CamelBak,https://www.camelbak.com,Petaluma,California,United States,+1 800-767-8725,1989,Steve Nadler (President),N/A,"CamelBak designs and sells hydration packs, water bottles, and outdoor gear for athletes, outdoor enthusiasts, and military and law enforcement personnel.",verified
Yeti,https://www.yeti.com,Austin,Texas,United States,+1 512-394-9384,2006,Matthew Reintjes (CEO),$1.66B (2023),"YETI designs and sells premium outdoor gear including hard and soft coolers, vacuum-insulated drinkware, bags, and accessories for outdoor enthusiasts.",verified
Stanley,https://www.stanley1913.com,Seattle,Washington,United States,+1 800-251-4535,1913,Matt Navarro (Brand President),$750M (2023 est.),"Stanley designs and sells insulated drinkware and outdoor gear, including vacuum bottles, tumblers, and food containers.",verified
Leatherman,https://www.leatherman.com,Portland,Oregon,United States,+1 800-847-8665,1983,Kris Hamper (CEO),N/A,"Leatherman designs and sells multi-tools, knives, and pocket tools.",verified
Petzl,https://www.petzl.com,Crolles,Isère,France,+33 4-76-92-09-00,1975,Paul Petzl (President),N/A,"Petzl designs and manufactures headlamps, climbing harnesses, carabiners, and technical equipment for climbing, caving, and work-at-height applications.",verified
Garmin,https://www.garmin.com,Olathe,Kansas,United States,+1 800-800-1020,1989,Cliff Pemble (CEO),$7.25B (2025),"Garmin designs and manufactures GPS navigation devices, smartwatches, and electronics for automotive, aviation, marine, outdoor, and fitness markets.",verified
Suunto,https://www.suunto.com,Vantaa,N/A,Finland,+358 9-875-870,1936,Heikki Norta (CEO),N/A,"Suunto designs and sells sports watches, dive computers, and compasses for outdoor adventurers and athletes.",verified
Sonder,https://www.sondermountainapparelco.com,Denver,Colorado,United States,N/A,N/A,Kipp Grange (founder),N/A,"Tattoo-inspired apparel brand selling clothing and accessories that funds mental health and addiction recovery support.",verified
Backcountry,https://www.backcountry.com,Park City,Utah,United States,+1 800-409-4502,1996,Kevin Lenau (interim CEO),$678M (est.),"Online retailer specializing in outdoor recreation gear, apparel, and equipment for activities like hiking, climbing, skiing, and biking.",verified
